GEOID,blackE,ltnxE,povrateE,lifeexpBRHD,health_outcomes,overall,overall_no_outcomes,rank_no_outcomes,rank_outcomes
51540000401,0.8668122270742358,0.3983402489626556,0.33830104321907606,1,0.7943760135094429,3.39782953276541,2.603453519255967,1,1
51540000501,1,0.3402489626556016,0.3204172876304024,0.8370851215528808,0.8703423849706856,3.36809375680957,2.4977513718388846,2,2
51540000202,0.4541484716157206,0.22406639004149378,1,0.7411019350276562,0.4944246065994333,2.9137414032843036,2.4193167966848703,3,3
51109950201,0.5087336244541485,0.21161825726141076,0.2593144560357676,0.8289393776305243,1,2.808605715381851,1.808605715381851,6,4
51125950100,0.314410480349345,0.2987551867219917,0.2771982116244412,0.8615223533199485,0.9721655742254165,2.724051806241143,1.7518862320157265,7,5
51109950400,0.5567685589519651,0.12033195020746887,0.18330849478390462,0.7800649140963889,0.8569493418806992,2.4974232599204265,1.6404739180397274,8,6
51003011302,0.23799126637554588,1,0.41281669150521616,0.32262941530179134,0.4728573875041778,2.4462947606867314,1.9734373731825534,4,7
51065020200,0.49126637554585156,0.33195020746887965,0.0849478390461997,0.7311904505622525,0.7497909218991373,2.389145794522321,1.6393548726231835,9,8
51003010700,0.5698689956331878,0.3941908713692946,0.165424739195231,0.6912697468605946,0.536255412840681,2.3570097658989893,1.8207543530583081,5,9
51109950202,0.3493449781659389,0.10373443983402489,0.17287630402384502,0.7719191701740322,0.9403439582516794,2.3382188504495205,1.397874892197841,14,10
51125950300,0.4366812227074236,0.09543568464730288,0.18479880774962745,0.6252957795716253,0.8761036660439415,2.2183151607199205,1.3422114946759791,16,11
51540000800,0.22052401746724895,0.6390041493775933,0.16989567809239942,0.496853135623634,0.5770704119120726,2.1033473924729487,1.5262769805608758,12,12
51109950100,0.27074235807860264,0.21576763485477177,0.10432190760059613,0.633441523493982,0.8570825192891093,2.0813559433170616,1.2242734240279525,18,13
51003011400,0.4694323144104804,0.24066390041493774,0.12071535022354694,0.41350643759037087,0.8205276665004199,2.064845669139756,1.2443180026393361,17,14
51079030101,0.18340611353711792,0.21991701244813275,0.11922503725782416,0.6578787552610497,0.8638684722553299,2.0442953907594545,1.1804269185041245,19,15
51540000402,0.34716157205240183,0.024896265560165973,0.1549925484351714,0.8370851215528808,0.5891029845005352,1.9532384921011552,1.36413550760062,15,16
51540000201,0.32532751091703066,0.15352697095435686,0.3755588673621461,0.7411019350276562,0.3400834285207813,1.9355987127819712,1.59551528426119,11,17
51540000600,0.20960698689956336,0.20746887966804978,0.8852459016393444,0.3245514405503186,0.2475613603647624,1.8744345691220385,1.6268732087572761,10,18
51109950500,0.15938864628820962,0.04149377593360996,0.17138599105812222,0.4053606936680142,0.9165446346577237,1.6941737416056797,0.777629106947956,33,19
51065020101,0.37991266375545857,0.07053941908713693,0.05514157973174367,0.48681813289157383,0.6842880864567187,1.6766998819226318,0.9924117954659131,25,20
51079030102,0.05021834061135371,0.11203319502074689,0.11922503725782416,0.5845670599598456,0.8029908658217813,1.6690344986715515,0.8660436328497704,28,21
51109950300,0.1790393013100437,0.06224066390041493,0.10730253353204172,0.4705266450468628,0.8492980054154193,1.6684071492047825,0.8191091437893632,32,22
51003010601,0.3951965065502184,0.13278008298755187,0.23845007451564829,0.2971841717451319,0.5816410321441732,1.6452518679427237,1.0636108357985505,21,23
51003010800,0.2532751091703057,0.3609958506224066,0.12518628912071536,0.4286002520380221,0.4437275275324399,1.6117850284838897,1.1680575009514498,20,24
51065020300,0.1790393013100437,0.06224066390041493,0.07600596125186289,0.5194011085809981,0.76192031702433,1.5986073520676496,0.8366870350433195,31,25
51079030200,0.07860262008733625,0.3153526970954357,0.03427719821162445,0.429797925435083,0.6971633689259628,1.5551938097554423,0.8580304408294794,29,26
51003011301,0.2292576419213974,0.12448132780082986,0.13412816691505217,0.39721494974565874,0.6369356069430859,1.522017693326024,0.8850820863829382,27,27
51003010902,0.13973799126637554,0.5809128630705394,0.32637853949329365,0.37505627128318175,0,1.4220856651133904,1.4220856651133904,13,28
51003011201,0.1091703056768559,0.2987551867219917,0.05663189269746648,0.3890692058233033,0.5661219033908905,1.4197484943105079,0.8536265909196173,30,29
51540000302,0.40829694323144106,0.13278008298755187,0.09090909090909091,0.33204899836681134,0.4215586907925072,1.3855938062874023,0.9640351154948952,26,30
51540000502,0.3275109170305677,0.2614107883817427,0.13263785394932937,0.3401947422891668,0.3008458804329249,1.3626001820837315,1.0617543016508066,22,31
51003011303,0.26200873362445415,0.3070539419087137,0.11624441132637853,0.32262941530179134,0.3346515962058206,1.3425880983671583,1.0079365021613378,23,32
51125950200,0.032751091703056776,0.10373443983402489,0.04769001490312966,0.4705266450468628,0.6709583284977823,1.3256605199848563,0.6547021914870741,39,33
51003010300,0.07205240174672489,0.23236514522821575,0.09687034277198213,0.26688304698796395,0.48302728539303774,1.1511982221279244,0.6681709367348867,38,34
51003010901,0.021834061135371185,0.1991701244813278,0.42921013412816694,0.3482319303874566,0.15209902644369658,1.1505452765760191,0.9984462501323225,24,35
51003010201,0.07205240174672489,0.24481327800829875,0,0.3564862301338789,0.4619408143448336,1.1352927242337363,0.6733519098889026,37,36
51003010100,0.12663755458515286,0.06639004149377593,0.10879284649776452,0.23430007129853958,0.5878527136723829,1.1239732275476157,0.5361205138752329,43,37
51003010602,0.16375545851528384,0.14937759336099585,0.09090909090909091,0.2971841717451319,0.4194440361323148,1.1206703506628173,0.7012263145305025,35,38
51065020102,0.18340611353711792,0.14522821576763484,0.043219076005961254,0.1202596563855558,0.5981627520296764,1.0902758137259463,0.49211306169626984,45,39
51003010401,0.1790393013100437,0.03734439834024896,0.05514157973174367,0.23430007129853958,0.5842577165300079,1.0900830672105837,0.5058253506805759,44,40
51003011202,0.039301310043668124,0.34439834024896265,0.03427719821162445,0.26688304698796395,0.40410765647159336,1.0889675519638125,0.6848598954922192,36,41
51003010500,0.22270742358078607,0.08713692946058091,0.023845007451564832,0.31371656084531496,0.40909852307947464,1.0565044444177214,0.6474059213382468,40,42
51540001000,0.028384279475982536,0.0995850622406639,0.157973174366617,0.32390325444445467,0.37555833437967157,0.9854041049073896,0.609845770527718,41,43
51003011100,0.021834061135371185,0.04564315352697096,0.052160953800298074,0.429797925435083,0.4332839829846256,0.9827200768823487,0.5494360938977232,42,44
51540000700,0.05458515283842795,0.10788381742738588,0.256333830104322,0.3245514405503186,0.21996176882001273,0.9633160097404672,0.7433542409204544,34,45
51540000900,0.13537117903930132,0,0.050670640834575266,0.1446968881526246,0.456305462116284,0.7870441701427852,0.3307387080265012,47,46
51003011000,0,0.1784232365145228,0.03129657228017884,0.17727986384204764,0.35528172074483116,0.7422813933815804,0.3869996726367493,46,47
51003010402,0.021834061135371185,0.02074688796680498,0.02980625931445604,0.1202596563855558,0.5281170271761326,0.7207638919783206,0.192646864802188,48,48
51003010202,0.021834061135371185,0.05394190871369294,0.03427719821162445,0,0.47848793040526777,0.5885410984659564,0.11005316806068857,49,49
